Neil Alexander
Sergio Marcos
Andy Campbell
Hauke Brückner
Nick Colgan
James Collins
Yassin El-Azzouzi
Jean-Marie Eveno
Gary Croft
Guy N'Gosso
Stephen Dobbie
Sunday Oliseh
Florian Kringe
Lilian Bochet
Théo Manet
Pierre Sagna
Serge Aurier
Nicolas Caraux
Yoann Collas
Adama Diakité
Yvan Dzierzynski
Steven Whittaker
Bilal Hamdi
Anthony Rogie
Cédric Bakambu
Rafaël Dias
Yannick Zambernardi
Quentin Pereira
Robert Earnshaw
Lionel Zouma
Petrus Boumal
Manuel Cabit
Jérôme Roussillon
Ibrahima Tandia
Danny Gabbidon
Anthony Koura
Alexander Walke
Florian Lejeune
Florent André
Graham Kavanagh
Adrien Coulomb
Mathieu Deplagne
Bradley Diallo
Guillaume Legras
Jonathan Ligali
Jonas Martin
Teddy Mezague
Alexander N'Doumbou
Hugo Rodriguez
Dimitri Sarasar
Téji Savanier
Emmanuel Schianchi
Benjamin Stambouli
Gaëtan Bussmann
Guillaume Gégousse
Benjamin Lecomte
Thomas Monconduit
Alvin Arrondel
Kévin Crépel
Abdoulaye Doucouré
Maxime Dupé
Geoffrey Kondogbia
Ferris N'Goma
Yaya Sanogo
Wesley Yamnaine
Joey Di Iorio
Matz Sels
Yann Benedick
Alexi Peuget
Cyriaque Rivieyran
Alessandro Berardi
Edoardo Fagioli
Giuseppe Capua
Matteo Monteforte
Tommaso Ceccarelli
Lorenzo Cinque
Luca Crescenzi
Alessandro Di Mario
Marco Lanni
Lorenzo Petroni
Manuel Ricci
Flavio Trombetta
Greg Shields
Enrico Zampa
Denis Perger
Mickaël Firmin
Peter Canero
Sean Hessey
Radoslaw Kaluzny
Álex López
Krisztián Szóllar
Antón de Vicente
Nacho Martínez
Phillipp Mwene
Marco Vorbeck
Mexer
Steven Naismith
Kris Jogan
Russell Anderson
Clemens Fritz
Yaya Banana
Nwankwo Obiora
King Osanga
Marco Engelhardt
Mark Cullen
Diego Rodríguez
Ibai Gómez
Michal Kovar
Carles Gil
Borja Navarro
Iván Rubio
Reece Brown
Jason Scotland
Isaac Aketxe
Tom Hutchinson
Julián Speroni
Álex Sánchez
Billy Clifford
Aníbal Matellán
Javier Espinosa
Luis Alberto
Álvaro Morata
Adam Blakeman
Robbie Brady
Scott Wootton
Jay Lynch
Mark Connolly
Derrick Williams
Davide Ferrari
Tito
Roberto Silva
Nemanja Covic
Bo-kyung Kim
Dan Preston
Nacho Novo
Xabi Galán
David Álvarez
Alejandro Gálvez
Jaroslav Drobny
Antonio Estévez
Alessandro Marchetti
Apostolos Liolidis
Vangelis Mantzios
Rubén Pulido
David Cubillas
Fofo
Tom Anderson
Alexandros Tziolis
Jay Lucas
Oinatz Aulestia
Rubén González
Jak Alnwick
Saido Berahino
Jamal Blackman
Jack Butland
Nathaniel Chalobah
Conor Coady
Ben Gibson
Josh McEachran
Liam Moore
Ravel Morrison
Jack Robinson
George Thorne
Tom Thorpe
Andre Wisdom
Giannis Fetfatzidis
Jeremy Bon
Mathew Ryan
Giuseppe Reina
Luke Wilkinson
Liam O'Brien
Danny Batth
Sebastien Chabaud
David Davis
Michaël Ciani
Jack Price
Jamie Reckord
Nathan Rooney
Ethan Ebanks-Landell
Alessio Cragno
Jake Jervis
Nathan Redmond
Jores Okore
João Pedro
Gregory Dufer
Ștefan Popescu
Franck Grandel
Marcin Kaminski
Marc Martínez
