Niccolò Rosso
Sergio Akieme
Igor Zubeldia
David Mayoral
Gorka Larrea
Fernando Llorente
Mounir Chouiar
David Lizoain
Mikel Dañobeitia
Miguel Martínez
Sory Kaba
David Prieto
Jaap Stam
Gontzal Rodríguez
José Enrique
Francisco Tarantino
Fabrizio Brignani
Ko Itakura
Daniel Pudil
Fabrice Muamba
Arnaut Danjuma
Anthony Stokes
Graham Stack
Sebastián Eguren
Cristian Romero
Kristofer Haestad
Luca Sparandeo
Andreas Thom
Jerome Thomas
Miguel Flaño
Alessandro Giacomel
Alessio Zini
Silvio Bankert
John Karelse
Suleiman Abdullahi
Daichi Kamada
Greg Luer
Iago Indias
Alfonso Pedraza
Steve Harper
Tony Caig
Royston Drenthe
Adam Collin
Javier Balboa
Kamil Vacek
Michel Stöcker
Jamie McClen
Jean Calvé
Borja González
Olufela Olomola
Thomas Myhre
Mesut Özil
Paul Will
Jürgen Macho
Junichi Inamoto
Steed Malbranque
René Tretschok
John Carew
Martin Erlic
Robert Acquafresca
Alessandro Boccolini
Gautier Larsonneur
Numan Soysal
Alberto Giuliatto
Faitout Maouassa
Léon Valentin
Carlos Valdez
Alen Boksic
Alban Lafont
Ibrahima Konaté
Diogo Dalot
Joe Bizera
Diogo Leite
Rúben Vinagre
Florentino
Rafael Leão
Daniele Buzzegoli
Alessandro Tripaldelli
Lorenzo Valeau
Domenico Cuomo
Andrea Cocco
Olivier Dacourt
Leandro Barreiro
Giorgio Noviello
Julien Escudé
Claudio Pani
Andrea Peana
Francesco Pisano
Kazaiah Sterling
Valérien Ismaël
Luca Tomasig
Fabio Vignati
Fabio Ceravolo
Simone Missiroli
Dennis Oliech
Dušan Vlahović
Mickaël Landreau
Gustavo Quezada
Rodri
Jordão
Edward Ofere
Alfon González
Jayson Molumby
Mark Travers
Declan Rice
Robbie Elliott
Carlos Vela
Domagoj Bradaric
Ronny Johnsen
Nikola Jozic
Duje Javorcic
Alsény Camara
Fernando Calero
Pablo Fornals
Andy Griffin
Josh Robson
Lasse Sörensen
Sergio Sánchez
Simone Ghidotti
Leonardo Stanzani
Sergio Alejandro
Alessandro Plizzari
Raoul Bellanova
Davide Bettella
Thomas Schirò
Davide Merola
Dick van Burik
Aaron Hughes
Eric Lirussi
Simone Canestrelli
Gianluca Gaetano
Brandon Baiye
Cyril Ngonge
Rinaldo Cruzado
Nikolaos Dabizas
Luis Pérez
Víctor Vázquez
Chidozie Awaziem
Yordan Osorio
Eldor Shomurodov
Iain Turner
Joseph Aidoo
Steve Simonsen
Paul Gerrard
Silvio Spann
Rey Volpato
Andrea Esposito
Tomasz Radzinski
Davide Giorgino
Ritsu Doan
Théo Guivarch
Anthony Lamonge
Bradley Mazikou
Issam Ben Khemis
Mehdi Chahiri
Alexandre Lavenant
Ibrahima Conté
Jean-Philippe Krasso
Victor Obinna
Daniele Paponi
Cameron Jerome
Tobias Linderoth
Piermario Morosini
Andrea Consigli
Andrea Ivan
Ibrahim Said
Fernando Tissone
Änis Ben-Hatira
Cristian Tassano
Patrick Asmah
Alessandro Pistone
Federico Ranieri
Dennis Jastrzembski
Gary Naysmith
Kingsley Fobi
Yaw Yeboah
Sixten Veit
Tie Li
Rodrigo Beckham
Felix Luz
Alfa Semedo
Michal Janicki
Savo Pavicevic
Slobodan Rajković
Ezequiel Garay
Patrice Luzi
Vegard Heggem
Srdjan Baljak
James Tilley
Jamie Carragher
Djimi Traoré
Jon Otsemobor
Georgi Donkov
Dariusz Wosz
Salif Diao
Igor Biscan
Bruno Cheyrou
Pavel Nedved
Pavle Ninkov
El-Hadji Diouf
Neil Mellor
Reda Boultam
Teun Koopmeiners
Zoran Rendulic
Richie Partridge
Yann Mabella
Michael Foley-Sheridan
Ivan Stevanovic
Kasey Keller
Lars Hirschfeld
Andreas Reinke
Marcus Fischer
Teddy Chaouche
Mitchel Bakker
Jurgen Ekkelenkamp
Daishawn Redan
Sven Botman
Sergiño Dest
Florian Fromlowitz
Nenad Milijas
Rubén García
Rafa Mir
Ozan Kabak
Dusan Tadic
Tony Hibbert
Mark Pembridge
David Mamutovic
Kilian Ludewig
Tymoteusz Puchacz
Nick Chadwick
Scot Gemmill
Lee Carsley
Max Kruse
Niklas Stegmann
Christian Dorda
Kevin McLeod
Nayef Aguerd
Tim Heubach
Moses Lamidi
Frederic Löhe
Tim Rubink
Alexander Bugera
Leon Osman
Olcay Şahan
Oliver Stang
Élton
Fin Bartels
Isi Palazón
Edgar
Gabriel Gudmundsson
David Otto
Agostinho
Emra Tahirovic
Pauleta
Stanislav Manolev
Lorenzo Callegari
Rui Costa
Jardel
Mirko Boland
Nuno Gomes
Muhammed Kiprit
Brandon Comley
Júnior Tavares
Simon Terodde
Arthur Melo
Nigel Martyn
Gaëtan Bong
Romain Chouleur
Serge Gakpé
Julien Quercia
Josip Juranovic
Marco Varnier
Mike Büskens
Paul Robinson
Gary Kelly
Adrián Martín
Matheus Cassini
Giacomo Vrioni
Shane Cansdell-Sherriff
Gabriel Jesus
Jack Hendry
Michael Duberry
Ian Harte
Luca Mack
Tim Wendel-Eichholz
Seth Johnson
Javi García
Matthias Tietz
Romain Beynié
Samuel Pérez
Juande Prados
Marco Andreolli
Daniel Maa Boumsong
Matteo Momentè
Georgi Tunjov
Mikhail Sivakov
Nikola Kalinic
Abukar Mohamed
Timo Stavitski
Sean Gregan
Sandro Embaló
Djamel Belmadi
David Elm
Pavel Drsek
Mark Hudson
Stephen Clemence
Flavio Bianchi
Pietro Pellegri
Alessio Bianchi
Moise Kean
Lorenzo Gavioli
Marco Meli
Joachim Björklund
Andrea Adorante
Sidy Sarr
Pape Abou Cissé
Mamadou Loum
Moussa Koné
Moussa Wagué
Bernardo
Émerson Thome
Raimond van der Gouw
Adama Traoré
Gabriel Osho
Les Ferdinand
Bevic Moussiti-Oko
David James
José Manuel Arnáiz
Francesco Mele
Tomas Repka
Nigel Winterburn
Cédric Kipré
Elliot Embleton
Falaye Sacko
Fousseni Diabaté
Allan Johnston
Fredrik Bjørkan
Joseph-Désiré Job
Ola Toivonen
Danny Dichio
Dan Ndoye
Patson Daka
Kevin McDonald
Russell Hoult
Ifeanyi Udeze
Xian Emmers
Daouda Peeters
Corentin Tirard
Joe Murphy
Pontus Dahlberg
Giuseppe Cuomo
Phil Gilchrist
Abderrahman Kabous
Lárus Orri Sigurdsson
Alex Dobre
Luke Chadwick
Bennard Kumordzi
Carl Motteram
Bojan Djordjic
Sam Oji
Marcos Painter
Nicolas Basin
Lee Hughes
Christophe Berra
Ablie Jallow
Mak Varesanovic
Graham Dorrans
Jason Koumas
Tamika Mkandawire
John Collins
Bob Taylor
Scott Dobie
Jason Roberts
Ian Taylor
Lloyd Dyer
Sergio Gómez
Pau Martínez
Jailson
Oscar Linnér
Lee Marshall
Dan Agyei
Andy Johnson
Leo Østigård
Derek McInnes
Des Lyttle
Yannic Lenze
Luís Maximiano
Thierry Correia
Adam Chambers
Miguel Pallardó
James Chambers
William Kvist
Robert Paul
Al Bangura
Hamer Bouazza
Stephen Hunt
Jesper Karlsson
Tomasz Hajto
Michael Svensson
Colin Kazım-Richards
Giacomo Malquori
Mark Draper
Blagoy Georgiev
Ibrahima Sonko
Chris Brunt
Wayne Bridge
Branislav Ivanovic
Leonardo Sarzi Maddidini
Paul Jones
Riccardo Orsolini
Jason Dodd
Ádám Nagy
Ian Ashbee
Pablo Fernández
Leon Clarke
Danny Higginbotham
Andy Dawson
Damien Delaney
Mamadou Thiam
Wade Elliott
Juancho Victoria
Ryan France
Stuart Green
Billy Jones
Claus Lundekvam
Leon Cort
Graziano Beltrami
Anders Svensson
Nemanja Pejcinovic
Kyle Lafferty
Matt Duke
Torben Müsel
Loïs Openda
Arthur Theate
Marians Pahars
Michael Duff
Chris McCann
Sascha Burchert
Dietmar Hirsch
Christopher Schorch
Juan Ugarte
Federico Valverde
Aaron Mitchell
Lars Dendoncker
Bülent Akın
Fabrice Begeorgi
Sebastian Boenisch
Mark Davies
Niall Ennis
Jussi Jääskeläinen
Dudu
Maximiliano Caufriez
Keith Lowe
Salva Ballesta
Modou Badjie
Marc Pugh
Piotr Swierczewski
Rafael Cabello
Richard García
Sasa Kalajdzic
John Moncur
Joakim Maehle
Rasmus Kristensen
Daryl McMahon
Anton Ferdinand
Niklas Kölle
Paolo Di Canio
Markus Dworrak
Frédéric Kanouté
Youssef Sofiane
Toumani Diagouraga
Nathan Dyer
Joel Grant
Sami Allagui
Lewin Nyatanga
Sebastian Pelzer
Tugay Kerimoğlu
Corrado Grabbi
Ludovico D'Orazio
Egil Östenstad
Somen Tchoyi
Garry Flitcroft
Andreas Hanche-Olsen
Francis Guerrero
Bernard Mendy
Michele Cerofolini
Mario Ierardi
Nicolás Garmendia
Julian Ryerson
Pablo Rosario
Jay-Jay Okocha
Rasmus Bengtsson
Umberto Otranto
Brady Scott
Timothy Weah
Facundo Sava
Bartol Franjic
Jason McAteer
David Colina
Ante Palaversa
Ivor Pandur
Arijanet Muric
Alex Coppola
Franck Queudrue
Stanley Nsoki
Myziane Maolida
Jad Mouaddib
Imad Faraj
Lenny Vallier
Evan Ndicka
Loïc Bessilé
Diego Lainez
Robbie Stockdale
McDonald Mariga
Gabriel Brazão
Tetê
Ian Evatt
Massimo Maccarone
Mirko Bizzi
Lirim Kastrati
Ismet Sinani
Marash Kumbulla
Adam Eckersley
Stefan Postma
Ritchie Jones
Francisco Sierralta
Gabriel Agbonlahor
Mart Poom
Simon Cox
Tommy Elphick
Sébastien Grégori
Jérôme Perez
Kevin Spadanuda
Papis M'Bodji
Stéphane Sessègnon
Paul Devlin
Carlens Arcus
Craig Gardner
Rob Friend
Wayne Henderson
Toni Kallio
Nathaniel Phillips
Dimitry Bertaud
Jaka Bijol
Peter Enckelman
Knut Olav Rindarøy
Baba Traoré
Wesley Gasolina
Vinicius Junior
Marijan Kovacevic
Sergio Bermejo
Pietro Cavagnaro
Ceyhun Gülselam
Elvis Hammond
Mads Bech Sörensen
Carlos Soler
Guus Til
Maik Taylor
Giles Barnes
Andrejs Stolcers
Dani Silva
Vadim Demidov
Martin Djetou
Martín Herrera
Paulinho
Alex Nyarko
Louis Deschateaux
Amine Harit
Ibrahima Sissoko
Florian Ayé
Nicholas Pierini
Zeljko Brkic
Petko Hristov
Tarik Elyounoussi
Perparim Hetemaj
Kim Källström
Shane Long
Jorge Pina
Pablo Larrea
Enrico Vencato
Andrea Badan
Mario Suárez
Lucas Martínez Quarta
Giuseppe Borello
Pasquale Giannotti
Teddy Lucic
Antonio Tomás
Adryelson
Per Frandsen
Mathew Birley
Edgar Loué
Lee Cattermole
Scott Donnelly
Ismael Falcón
Diego Alende
Nico Vaesen
Wuilker Fariñez
Damián Lanza
Andy Marriott
Abel Aguilar
Daniel Osvaldo
Nicholas Pennington
Jacopo Segre
Gianluca Palmiteri
Gaetano Ungaro
Marcelo Saracchi
Paul Anderson
Nicolas Lemaître
Yuri Breviario
José Crespo
Manuel da Costa
Manu del Moral
Joey Hutchinson
Roberto
Vincent Marchetti
Dragan Rosic
Christian Rivera
Aitor Buñuel
Antonio Otegui
Matteo Mandorlini
Alessandro Bernardini
Junior Firpo
Djordjije Cetkovic
Éder
Andrey Kanchelskis
Antony Evans
Danny Mills
Francesco Pambianchi
Heath Pearce
Ignacio Piatti
Gareth Southgate
Mateusz Praszelik
Danny Simpson
Marcel Lenz (Stadel)
Oliver Zech
Junior Osborne
Scott Golbourne
Manuel Junglas
David Forde
Onyekachi Apam
Stan Lazaridis
Dean Kiely
Ahmed Abou-Mosalem
Kenji Gorré
Ryan Robinson
Kristijan Jakic
Fábio Júnior
Imanol Agirretxe
Ludovic Genest
Ismail Jakobs
Larsen Touré
Konstantinos Kiassos
Winston Reid
Samuele Guddo
Edoardo Sbampato
Damián Manso
Diego Tardelli
Gláuber
André Almeida
Joel Asoro
Alan O'Brien
Óscar Ustari
Jon Parkin
Djordje Rakic
Guillermo Franco
Ferhat Bikmaz
Jeando Fuchs
Alexandre Pato
Manuel De Luca
Kristijan Bistrovic
Ismaël Diallo
Ibrahim Sangaré
Rubinho
Piotr Reiss
Giancarlo Maldonado
Danylo Ignatenko
Peter Whittingham
Matías Vargas
Dion Dublin
Guillermo Rodríguez
Stephen McPhail
Patrick N'Tolla
Dimitri Payet
Marc Gual
Prince Tagoe
Dominic Matteo
Mathías Olivera
Njegos Petrovic
Jamie McMaster
Arturo Vidal
Michael Bridges
David Goodwillie
David Gray
Alan Smith
Stuart Nicholson
Tufan Tosunoglu
Charlie Goode
Harpal Singh
Danny Milosevic
Fran Díaz
Michael Folorunsho
Loris Zonta
Raúl Bravo
Flavien Belson
Stefano Tindo
Daniel Carriço
Cristian Riveros
Andy van der Meyde
Renato Bondi
Selim Amallah
Jonjo Dickman
Federico Moretti
Siyabonga Nkosi
Sergio Córdova
Pierre Lees-Melou
Mark Rossiter
Noureddine Kacemi
Anel Ahmedhodzic
George McCartney
Kerlon
Nicolás Medina
Vincent Enyeama
Chris Killen
Arnór Sigurdsson
Sebastián Saja
Grafite
Weldon
Manuel Iarrusso
Marvin Emnes
Philipp Hosiner
David Prutton
Alexandre Licata
Aitor Ruibal
Chris Riggott
David Schnegg
Yangel Herrera
Clemens Walch
Felipe Caicedo
Drissa Diakité
Sergey Evlyushkin
Dejan Lovren
Matt Oakley
Albert Baning
Franco Russo
Patrick Sequeira
Scott Parker
Démé N'Diaye
Ali Zitouni
James O'Connor
Michael Phillips
Mathias Serin
Craig Hignett
Richarlison
Matthew Etherington
Lino Tempelmann
Enis Nadarevic
Neil Clement
Ion Ansotegi
Marc Vito
Gerzino Nyamsi
Joris Gnagnon
DJ Campbell
Cheick Traoré
Danny Coid
Malcolm Christie
David Cobeño
Gary Caldwell
Marius Marin
Noah Fadiga
Nabil El Zhar
Matías Fernández
Geoff Horsfield
Kamil Grosicki
Stern John
Hugo Rodallega
Ferdinand Coly
Camilo Zúñiga
Ho-jin Lee
Alberto Marzi
Carlos Doncel
Jokin Ezkieta
Alex Bruce
Aliou Cissé
Sergio Camus
Gabriel Cichero
Robbie Savage
Roberto Corral
Jordan Leborgne
Christopher Gäng
Ümit Korkmaz
Sébastien Schemmel
Lyanco
Sebastian Prödl
Arthur Desmas
David Kiki
Simon Straudi
Christian Dailly
Tobias Stirl
Noel Knothe
Jan-Luca Rumpf
Adrian Fein
Meritan Shabani
Jonathan Meier
Janusz Dziwior
Édouard Cissé
Joseph Akpala
Alexander Büttner
Julian Rieckmann
Steve Lomas
Goran Bunjevcevic
Felix Schwarzholz
David Sommeil
Igor
Carlo Nash
Henry Onyekuru
Maximilian Zaiser
Paul Ritchie
Santi Comesaña
Jihai Sun
Williams Martínez
Richard Dunne
Ben Hutchinson
Martin Olsson
Madjid Bougherra
Dan Jones
Lucién Mettomo
Gavin Gunning
Filipe Morais
James Keene
Niclas Jensen
Jamie O'Hara
Adam Hammill
Demeaco Duhaney
Lee Peltier
James Smith
Peter Till
Daniel Smith
Kevin Horlock
Michael Mancienne
Christian Negouai
Can Luka Aydogan
Daniel Thur
Johannes Wolff
Liam Fisch
Joel Mumbongo
Emmanuel Sabbi
Matías Vuoso
Mark Hughes
Heinz Barmettler
Mattia Cozzari
Tatsuya Ito
Benjamin Leneis
Josué Mbila
Luca Borrelli
Tony Vidmar
Daniel Mancini
Wesley Moraes
Pietro Beruatto
Doriva
Adrian Mariappa
Steven Benda
Sylvain Legwinski
Sofian Chahed
Ahmed Fathi
Malik Fathi
Victor Sá
Ilia Gruev
Mohamed Shawky
Amr Zaki
Lorenzo Carissoni
Alan Kelly
Iñigo Díaz de Cerio
Alexis Saelemaekers
Mike Trésor
Albert Sambi Lokonga
Alan Miller
Andrej Kotnik
Craig Short
Ben Starosta
Martin Taylor
Henning Berg
Gordon Greer
Pablo Vargas
Cédric Zesiger
Jay McEveley
Robert Lewandowski
Mace Goodridge
Luke Bolton
Tyrese Campbell
Joe Hardy
Matteo Cotali
Francesco Forte
Lucas Neill
Marc Torrejón
Mergim Mavraj
Pablo Sicilia
Keith Gillespie
Sergio Sánchez
Gorazd Zajc
Jonathan Rubio Toro
Nicky Beloko
Dean Richards
Paul Gascoigne
Przemyslaw Placheta
André Olukanmi
Kelechi Nwakali
Jurica Puljiz
Bjørn Otto Bragstad
Thorsten Kirschbaum
Dennis Lamczyk
David Pisot
Alcides
Thomas Deruda
Tomasz Zdebel
Mevlüt Erdinç
Matthew Pattison
Luciano Vella
Boaz Myhill
Hemza Mihoubi
Danny Williams
Guillaume Loriot
Vadis Odjidja-Ofoe
Steve Staunton
Basile Camerling
Flavien Le Postollec
Mustapha Hadji
Jean-Christophe Vergerolle
Tino Kadewere
Mark Delaney
Daniel Caligiuri
Gai Assulin
Ryan Donk
Johannes Flum
Andreas Glockner
Ulises de la Cruz
Daniel Schwaab
Felix Roth
Christian Träsch
Jin-ouk Kang
Jakub Moder
Luca Kilian
Alexis Claude-Maurice
Kévin Zinga
Garry Bocaly
Mohamed Dennoun
Tobias Raschl
Moustapha Papa Diop
Anthony Flachi
Vincent Gastine
Mame N'Diaye
Djime Ngom
Alexis Pradie
Fabien Centonze
Agustín Delgado
Jeremain Lens
Espen Baardsen
Jürgen Duah (Molinari)
Fran Manzanara
Jan-Ingwer Callsen-Bracker
Gabriel Suazo
Fernando Cavenaghi
Allan
Nikolaos Machlas
Razak Boukari
Davide Buglio
Anthony Baron
Alberto Dossena
Ryan Nolan
Juan Román Riquelme
Jean-Toussaint Moretti
Jordan Amissah
Tomasz Cywka
Salvatore Foti
Juan Esnáider
Mirko Casper
Angelo Antonazzo
Michele Arcari
Thomas Hübener
Karol Fila
Walter Bressan
Ciro Capuano
Marco De Cristofano
Marino Defendi
Fabiano
Nicolas Frey
Aiden O'Neill
Juanito Gómez
Brad Jackson
Ntumba Massanka
Marek Hamsik
Davide Marchini
Daniele Martinetti
Hermann Hreidarsson
Riccardo Nardini
Ivan Pedrelli
Nico Pulzetti
Alessandro Simonetta
Axel Disasi
Erwan Maury
Julien Laporte
Simon Lefebvre
Federico Di Francesco
Arne Feick
Mathias Svensson
Alaa Bakir
Joe Quigley
Ian Soler
Archie Davies
Szilard Nemeth
Nathaël Julan
Jamie Cade
Alessandro Sgrigna
Alessandro Turchetta
Alessandro Buongiorno
Alessandro Fiordaliso
Emanuele Valerio
Riccardo Sottil
Alessandro Iacuaniello
Nicola Ferrari
Stefano Ferrario
Gianluca Galasso
Nicola Madonna
Jonathan Greening
Marco Paoloni
Lassana Coulibaly
Côme Casanova
Ghjuvan Andria Piereschi
Douti Gbampok
Leonardo Loria
Leonardo Merio
Fabrizio Caligara
Simone Mancini
Daniel Ola
Stuart Parnaby
Antonio Saviano
Renato Dossena
Michael Beauchamp
Colin Cooper
Dean Heffernan
Yusuf Yazıcı
Gianluca Frabotta
Darko Churlinov
David Murphy
Alberto Parpinel
Edoardo Bovolon
Cristian Mutton
Andrew Davies
Sam Lammers
Przemyslaw Wisniewski
Matthew Turner
Giovanni Volpicelli
Joe Riley
Danilho Doekhi
Lovro Majer
Petar Musa
Luka Dumancic
Róber Pier
Daiki Hashioka
Izzy Iriekpen
Szymon Zurkowski
Stephen Bywater
Samuel Shashoua
Felipe Chacartegui
Sam Field
Gary Breen
Tomas Pekhart
Alessandro Osso Armellino
Jermain Defoe
Joe Cole
Ivano Sorrentino
Félix Borja
Leon Bailey
Segundo Castillo
Luton Shelton
César Montes
Lee Bowyer
Eddie Johnson
Ishmael Miller
Michael Carrick
Vítor Gomes
Ian Pearce
Carsten Wolters
Don Hutchison
Paulo da Silva
Niclas Stierlin
Luca Schuler
José Montiel
Benjamin Goller
Stefan Drljaca
Glen Johnson
Justo Villar
Karlo Butic
Kandia Traoré
Fraser Hornby
Yoane Wissa
Sergio Tejera
Nico Schlotterbeck
Shaun Byrne
Davide Brivio
Omar Traoré
Rufus Brevett
Maximilian Bauer
Assan Ceesay
Scott Minto
Marc Baró
Mateu Morey Bauzà
Josep Martínez
Kike Saverio
Arnau Comas
Ricard Sánchez
Jandro Orellana
Lucas de Vega
Adama Coulibaly
Khalilou Fadiga
Jermaine Beckford
Oumar Gonzalez
Florent Laville
Luca Unbehaun
Levent Mercan
Marc-Vivien Foé
Ceará
Eduardo
Adrian Stanilewicz
Jan Boller
Auston Trusty
Virgile Pinson
Fernando Gago
Thomas Bolis
Eyob Zambataro
Bareck Bendaha
Christian Brüls
Nicolò Casale
Ibrahima Bakayoko
Marquitos
Marcel Gebhardt
Henri Camara
David Fuster
Juan Carlos
Manuel Blanco
Pierre-Alain Frau
Jordi Gómez
Elia Giampà
Samuele Damiani
Davide Zappella
Ralf Fährmann
Vincenzo Millico
Salvatore Esposito
Andrea Ghion
Nedim Bajrami
Benedikt Höwedes
Danny Latza
Marvin Pachan
Tayfun Pektürk
Jean-Sébastien Jaurès
Federico Ravaglia
Tony Stokes
Matthew Reed
Rob Elliot
James Walker
Ousmane Dabo
Kei Kamara
Dagui Bakari
Valentin Voisin
Jesús Olmo
Pape Sarr
Arthur Cabral
Jacob Lungi Sörensen
Juan Iglesias
Lamine Diatta
Jonathan Téhoué
Manuel Ferrini
Andrea Masetti
Émerson Conceição
Simone Caputo
Philippe Delaye
Eric Curbelo
Felix Bastians
Cata Díaz
Amadou Makhtar N'Diaye
Fredy Guarín
Martin Hess
Sebastian Langkamp
Quentin Braat
Mickaël Panos
Martin Männel
Rodrigo Palacio
Grégory Coupet
Jonas Wind
Mads Roerslev
Sidney Sam
Dennis Schmidt
Javito López
Emanuele Fenderico
Gabriel Meli
Tommaso Di Renzone
Ádám Szalai
Hamed Junior Traorè
Assimiou Touré
Jérôme Bonnissel
Matt Butcher
Lucas Mareque
Juan Pablo Carrizo
Jean-Claude Billong
Habib Bamogo
Omar Daf
Xesc Regis
Julio Gracia
Lamine Fomba
Pascal Feindouno
Alessio Pagliarini
Andrea Romagnoli
Antonio D'Alena
Filippo Franchi
Cassio Cardoselli
Marcus Browne
Mert Çetin
Wilson Oruma
Nicolás Domingo
Augusto Fernández
Radamel Falcao
Gonzalo Higuaín
Péguy Luyindula
Alessio Rollandi
Massimo Tazzer
Michele Bruzzo
Kodjo Afanou
Domingos Quina
Igor Silva
Khaled Adénon
Patric Pfeiffer
Alassane N'Dour
Pape Thiaw
Namakoro Diallo
Marco Alia
Giorgio Spizzichino
Bakary Soro
Didier Ya Konan
Bernard Diomède
Gabriele Ferrarini
Erald Lakti
Mauro Zitelli
Nicolò Zaniolo
Frantz Bertin
Hassan Ahamada
Daniel Klein
Simon Asta
Tom Gaal
Sebastian Müller
Julian Albrecht
Kaan Kurt
Tim Maciejewski
Noah Weißhaupt
Hjalmar Ekdal
Christian Bassila
Timothée Taufflieb
Habib Bèye
Ryad Habbas
Olivier Lesueur
Alessandro D'Andrea
Aldo Caiazza
Giuseppe Esposito
Didier Drogba
Dennis Daube
Riccardo Cargnelutti
Tunay Torun
Sébastien Piocelle
Felice D'Amico
Gennaro Ruggiero
Antonino Gallo
Erasmo Mulè
Andrea Ciofi
Alessandro Guarnone
Tommaso Pobega
Riccardo Forte
Frank Tsadjout
Piermarco D'Angelo
Sebastián Leto
Gabriele Zappa
Marco Sala
Enrico Celeghin
Matteo Rover
Stefano Marchetti
Makoto Hasebe
Chiedozie Ogbene
Marama Vahirua
Giacomo Figliuzzi
Martial Robin
Lennard Maloney
Lennart Moser
Marc Guéhi
Zechariah Medley
Austin Samuels
Ian Poveda
Emile Smith Rowe
George McEachran
Callum Hudson-Odoi
Angel Gomes
Ethan Ampadu
Marcel Lavinier
Alex Cochrane
Kane Wilson
Ryan Sessegnon
Jonathan Panzo
Craig Fagan
Casimir Ninga
Antonio Candela
Darren Carter
Francesco Verde
Alessandro Gori
Roberto Taliento
Alberto Alari
Enrico Del Prato
Enrico Zanoni
Andrea Colpani
Denis Hergheligiu
Salvatore Elia
Emmanuel Latte Lath
Nadir Zortea
Mat Sadler
Raphael Wolf
Olivier Tébily
Serge Akakpo
Ousmane Cissokho
Zakaria Aboukhlal
Mitchell van Bergen
Jeff Kenna
Maurice Opfermann Arcones
Brenden Aaronson
Josh Sargent
Caner Erkin
Martin Grainger
Aly Abeid
Shady Oukhadda
Domenico Coppola
Ali Samake
Steve Vickers
Felix Agu
Michael Johnson
Giacomo Piccardo
Andrea Tessiore
Filippo Oliana
Douglas Augusto
Riccardo Santovito
Raffaele Russo
Giuseppe Negro
Kenny Cunningham
Mario Vrancic
Miles Addison
Jozy Altidore
Alessandro Confente
Jamie Clapham
Nicola Danieli
Sofian Kiyine
Raul Opruț
Gareth Bale
Bryan Hughes
Filippo Delli Carri
Faton Toski
Zoubaier Baya
Damien Johnson
Stefan Schimmer
Emanuel Aiwu
Martin Lanig
Nicolai Müller
Víctor Campuzano
Lorenzo Spurio
Alessio Miceli
Leam Richardson
Davide Frattesi
Edoardo Rezzi
Manolo Portanova
Denis Petro
Boubacar Kamara
Rafik Guitane
Ervin Taha
Mohamed Rabbas
Emanuel Vignato
Filippo Pavoni
Massimo Bertagnoli
Wayne Buchanan
Jeff Cassar
Jeff Smith
Sergio Ruiz
Henrik Pedersen
Brad Guzan
Delroy Facey
Lorenzo Sarini
Gianni Palmese
Tommaso Farabegoli
Francisco Palencia
Federico Chiossi
Charles Traoré
Mehdi Ben Slimane
Kevin Nolan
Jonathan Forte
Davide Borsellini
Andreaw Gravillon
Emanuele Monari
Hamza El Kaouakibi
Giordano Trovade
Alessandro Santopadre
Santiago Colombatto
Alessandro Bianconi
Theo Robinson
Ben Turner
Ivan Castiglia
Lorenzo Carotti
Davide Oresti
Till Cissokho
Batista Mendy
Yacine Adli
Maxence Caqueret
Claudio Gomes
Alexis Flips
Sébastien Cibois
Edgaras Dubickas
Victor Anichebe
Aldo Duscher
Erin Pinheiro
Nico Herzig
Antoine Bernede
Moussa Diaby
Metehan Güclü
Wilfried Kanga
Emmanuele Matino
Marco Acatullo
Andrea Mastino
Andrea Cadili
Alexandre Olliero
Anthony Racioppi
Adrien Lebeau
Zachary Brault-Guillard
Gédéon Kalulu
Houssem Aouar
Yassin Fekir
Elisha Owusu
Alan Dzabana
Daniel Sjölund
Charly Beber Serreri
Kevin Piscopo
Paolo Matera
Sam Hughes
Massimiliano Mangraviti
Francesco Verde
Geert De Vlieger
Marco Pasalic
Michele Borrozzino
Vyacheslav Hleb
Aristidi Kolaj
Andrea Di Maggio
Riccardo Daga
Alessandro Marongiu
Javi Díaz
Genaro Rodríguez
Eliseo Falcón
Aly Ndom
Pepe Mena
Manu Hernando
Callum Whelan
Jimmy Dunne
Pascal Formann
Fabio Alleruzzo
Zak Dearnley
Ethan Hamilton
Carlos Isaac
Mikel Carro
Luis Perea
Javi Montero
Joaquín Muñoz
Miguel San Román
Óscar Clemente
Álex dos Santos
Riccardo Taccori
Bruno N'Gotty
Bryan Ruiz
Didier Domi
Nicholas Opoku
Humberto Suazo
Djibril Cissé
Manor Solomon
Roberto Biancu
Luca Gagliano
Urko Arroyo
Antonio Ayala
Luca Ceccarelli
Rufino Segovia
Francesco Scavo
Marouane Fellaini
Oscar López
Alessandro Pellicori
Javi Rubio
Dan Kemp
Jamie Cumming
Richard Nartey
Orlando Urbano
Maxi Gómez
Andreas Spann
Danilo Soddimo
Vincent Péricard
Mark Gower
Sandro Tonali
Nicky Maynard
Sebastiano Longo
Kyel Reid
Jordi Osei-Tutu
Josh Benson
Thomas Franke
Diego Contento
Gideon Mensah
Lorenzo Rivi
Alberto Carminati
Alessandro Zanoli
Luca Scordino
Mehmet Ekici
Mats Hummels
Michele Martello
Mattia Cherubini
Antonio Cucinotta
Thomas Kraft
Pio Schiavi
Matthias Schwarz
Sandro Wagner
Agostino Spicuzza
Dennis Man
Domi Kumbela
Matteo Tobaldo
Michael Lehmann
